"in.sqft","in.bathroom_spot_vent_hour","in.bedrooms","in.ceiling_fan","in.clothes_dryer","in.clothes_washer","in.clothes_washer_presence","in.cooking_range","in.cooling_setpoint","in.cooling_setpoint_has_offset","in.cooling_setpoint_offset_magnitude","in.cooling_setpoint_offset_period","in.dishwasher","in.ducts","in.federal_poverty_level","in.geometry_floor_area","in.geometry_floor_area_bin","in.geometry_foundation_type","in.geometry_garage","in.geometry_stories","in.geometry_stories_low_rise","in.geometry_wall_exterior_finish","in.geometry_wall_type","in.has_pv","in.heating_fuel","in.heating_setpoint","in.heating_setpoint_has_offset","in.heating_setpoint_offset_magnitude","in.heating_setpoint_offset_period","in.hot_water_fixtures","in.hvac_cooling_efficiency","in.hvac_cooling_partial_space_conditioning","in.hvac_cooling_type","in.hvac_has_ducts","in.hvac_has_zonal_electric_heating","in.hvac_heating_efficiency","in.hvac_heating_type","in.hvac_heating_type_and_fuel","in.income","in.income_recs_2015","in.income_recs_2020","in.infiltration","in.insulation_ceiling","in.insulation_floor","in.insulation_foundation_wall","in.insulation_rim_joist","in.insulation_roof","in.insulation_slab","in.insulation_wall","in.lighting","in.misc_extra_refrigerator","in.misc_freezer","in.misc_gas_fireplace","in.misc_gas_grill","in.misc_gas_lighting","in.misc_hot_tub_spa","in.misc_pool","in.misc_pool_heater","in.misc_pool_pump","in.misc_well_pump","in.occupants","in.orientation","in.plug_load_diversity","in.puma_metro_status","in.pv_orientation","in.pv_system_size","in.range_spot_vent_hour","in.refrigerator","in.roof_material","in.usage_level","in.vacancy_status","in.vintage","in.vintage_acs","in.water_heater_efficiency","in.water_heater_fuel","in.weather_file_city","in.window_areas","in.windows","upgrade.hvac_heating_efficiency","Dry Bulb Temperature [°C]","Relative Humidity [%]","Wind Speed [m/s]","Wind Direction [Deg]","Global Horizontal Radiation [W/m2]","Direct Normal Radiation [W/m2]","Diffuse Horizontal Radiation [W/m2]","energy_sum"
"1220","Hour5","1","Standard Efficiency","Electric, 120% Usage","Standard, 120% Usage","Yes","Electric, 120% Usage","78","No","0F","None","None","20% Leakage, R-4","150-200%","1000-1499","0-1499","Slab","1 Car","1","1","Brick, Medium/Dark","Wood Frame","Yes","Electricity","68","Yes","6F","Day and Night","200% Usage","AC, SEER 8","80% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","50000-59999","40000-59999","40000-59999","15 ACH50","R-7","None","None","None","Unfinished, Uninsulated","Uninsulated","Wood Stud, Uninsulated","100% CFL","None","None","None","None","None","Electric","None","None","None","None","4","East","200%","In metro area, not/partially in principal city","Southeast","13.0 kWDC","Hour19","EF 6.7, 100% Usage","Composition Shingles","High","Occupied","1970s","1960-79","Natural Gas Standard","Natural Gas","Charleston Muni","F9 B9 L9 R9","Single, Clear, Non-metal","MSHP, SEER 24, 13 HSPF",31.1,61.39,4.6,120,554.5,275,338.5,0.901
"1220","Hour5","1","Standard Efficiency","Electric, 120% Usage","Standard, 120% Usage","Yes","Electric, 120% Usage","78","No","0F","None","None","20% Leakage, R-4","150-200%","1000-1499","0-1499","Slab","1 Car","1","1","Brick, Medium/Dark","Wood Frame","Yes","Electricity","68","Yes","6F","Day and Night","200% Usage","AC, SEER 8","80% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","50000-59999","40000-59999","40000-59999","15 ACH50","R-7","None","None","None","Unfinished, Uninsulated","Uninsulated","Wood Stud, Uninsulated","100% CFL","None","None","None","None","None","Electric","None","None","None","None","4","East","200%","In metro area, not/partially in principal city","Southeast","13.0 kWDC","Hour19","EF 6.7, 100% Usage","Composition Shingles","High","Occupied","1970s","1960-79","Natural Gas Standard","Natural Gas","Charleston Muni","F9 B9 L9 R9","Single, Clear, Non-metal","MSHP, SEER 24, 13 HSPF",31.1,55.34,5.1,150,676.5,596,214.5,1.165
"1220","Hour5","1","Standard Efficiency","Electric, 120% Usage","Standard, 120% Usage","Yes","Electric, 120% Usage","78","No","0F","None","None","20% Leakage, R-4","150-200%","1000-1499","0-1499","Slab","1 Car","1","1","Brick, Medium/Dark","Wood Frame","Yes","Electricity","68","Yes","6F","Day and Night","200% Usage","AC, SEER 8","80% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","50000-59999","40000-59999","40000-59999","15 ACH50","R-7","None","None","None","Unfinished, Uninsulated","Uninsulated","Wood Stud, Uninsulated","100% CFL","None","None","None","None","None","Electric","None","None","None","None","4","East","200%","In metro area, not/partially in principal city","Southeast","13.0 kWDC","Hour19","EF 6.7, 100% Usage","Composition Shingles","High","Occupied","1970s","1960-79","Natural Gas Standard","Natural Gas","Charleston Muni","F9 B9 L9 R9","Single, Clear, Non-metal","MSHP, SEER 24, 13 HSPF",31.1,65.61,4.6,200,481.5,155,360.5,0.798
"1220","Hour5","1","Standard Efficiency","Electric, 120% Usage","Standard, 120% Usage","Yes","Electric, 120% Usage","78","No","0F","None","None","20% Leakage, R-4","150-200%","1000-1499","0-1499","Slab","1 Car","1","1","Brick, Medium/Dark","Wood Frame","Yes","Electricity","68","Yes","6F","Day and Night","200% Usage","AC, SEER 8","80% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","50000-59999","40000-59999","40000-59999","15 ACH50","R-7","None","None","None","Unfinished, Uninsulated","Uninsulated","Wood Stud, Uninsulated","100% CFL","None","None","None","None","None","Electric","None","None","None","None","4","East","200%","In metro area, not/partially in principal city","Southeast","13.0 kWDC","Hour19","EF 6.7, 100% Usage","Composition Shingles","High","Occupied","1970s","1960-79","Natural Gas Standard","Natural Gas","Charleston Muni","F9 B9 L9 R9","Single, Clear, Non-metal","MSHP, SEER 24, 13 HSPF",31.1,61.39,4.6,190,667,564.5,228,1.228
"1690","Hour14","2","Standard Efficiency","Electric, 120% Usage","EnergyStar, 120% Usage","Yes","Propane, 120% Usage","75","No","0F","None","290 Rated kWh, 120% Usage","30% Leakage, Uninsulated","400%+","1500-1999","1500-2499","Vented Crawlspace","2 Car","1","1","Vinyl, Light","Wood Frame","No","Electricity","65","No","0F","None","200% Usage","AC, SEER 13","80% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","140000-159999","140000+","150000+","20 ACH50","R-19","Ceiling R-19","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Wood Stud, R-11","100% Incandescent","EF 6.7","EF 12, National Average","None","None","None","None","None","None","None","None","2","Northeast","200%","In metro area, not/partially in principal city","None","None","Hour6","EF 17.6, 100% Usage","Composition Shingles","High","Occupied","1980s","1980-99","Electric Standard","Electricity","Charleston Muni","F18 B18 L18 R18","Double, Clear, Metal, Air","MSHP, SEER 24, 13 HSPF",33.9,59.84,6.7,200,656.5,512,256.5,2.531
"1690","Hour14","2","Standard Efficiency","Electric, 120% Usage","EnergyStar, 120% Usage","Yes","Propane, 120% Usage","75","No","0F","None","290 Rated kWh, 120% Usage","30% Leakage, Uninsulated","400%+","1500-1999","1500-2499","Vented Crawlspace","2 Car","1","1","Vinyl, Light","Wood Frame","No","Electricity","65","No","0F","None","200% Usage","AC, SEER 13","80% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","140000-159999","140000+","150000+","20 ACH50","R-19","Ceiling R-19","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Wood Stud, R-11","100% Incandescent","EF 6.7","EF 12, National Average","None","None","None","None","None","None","None","None","2","Northeast","200%","In metro area, not/partially in principal city","None","None","Hour6","EF 17.6, 100% Usage","Composition Shingles","High","Occupied","1980s","1980-99","Electric Standard","Electricity","Charleston Muni","F18 B18 L18 R18","Double, Clear, Metal, Air","MSHP, SEER 24, 13 HSPF",31.1,55.34,5.1,150,676.5,596,214.5,1.68
"1690","Hour0","2","None","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","75","Yes","2F","Day Setup and Night Setback +5h","None","30% Leakage, R-4","400%+","1500-1999","1500-2499","Slab","None","2","2","None","Concrete","No","Electricity","70","Yes","3F","Day and Night +3h","100% Usage","AC, SEER 15","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","80000-99999","80000-99999","60000-99999","10 ACH50","R-30","None","None","None","Unfinished, Uninsulated","2ft R5 Under, Horizontal","CMU, 6-in Hollow, R-11","100% LED","EF 15.9","EF 12, National Average","None","None","None","None","None","None","None","None","1","North","100%","In metro area, not/partially in principal city","None","None","Hour17","EF 19.9, 100% Usage","Composition Shingles","Medium","Occupied","1980s","1980-99","Electric Standard","Electricity","Charleston Muni","F6 B6 L6 R6","Double, Low-E, Non-metal, Air, M-Gain","MSHP, SEER 24, 13 HSPF",31.1,65.61,4.6,200,481.5,155,360.5,0.508
"1690","Hour0","2","None","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","75","Yes","2F","Day Setup and Night Setback +5h","None","30% Leakage, R-4","400%+","1500-1999","1500-2499","Slab","None","2","2","None","Concrete","No","Electricity","70","Yes","3F","Day and Night +3h","100% Usage","AC, SEER 15","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","80000-99999","80000-99999","60000-99999","10 ACH50","R-30","None","None","None","Unfinished, Uninsulated","2ft R5 Under, Horizontal","CMU, 6-in Hollow, R-11","100% LED","EF 15.9","EF 12, National Average","None","None","None","None","None","None","None","None","1","North","100%","In metro area, not/partially in principal city","None","None","Hour17","EF 19.9, 100% Usage","Composition Shingles","Medium","Occupied","1980s","1980-99","Electric Standard","Electricity","Charleston Muni","F6 B6 L6 R6","Double, Low-E, Non-metal, Air, M-Gain","MSHP, SEER 24, 13 HSPF",27.25,84.59,6.28,227.5,346,76,286,0.447
"1690","Hour0","2","None","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","75","Yes","2F","Day Setup and Night Setback +5h","None","30% Leakage, R-4","400%+","1500-1999","1500-2499","Slab","None","2","2","None","Concrete","No","Electricity","70","Yes","3F","Day and Night +3h","100% Usage","AC, SEER 15","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","80000-99999","80000-99999","60000-99999","10 ACH50","R-30","None","None","None","Unfinished, Uninsulated","2ft R5 Under, Horizontal","CMU, 6-in Hollow, R-11","100% LED","EF 15.9","EF 12, National Average","None","None","None","None","None","None","None","None","1","North","100%","In metro area, not/partially in principal city","None","None","Hour17","EF 19.9, 100% Usage","Composition Shingles","Medium","Occupied","1980s","1980-99","Electric Standard","Electricity","Charleston Muni","F6 B6 L6 R6","Double, Low-E, Non-metal, Air, M-Gain","MSHP, SEER 24, 13 HSPF",31.1,61.39,4.6,190,667,564.5,228,0.557
"1690","Hour0","2","None","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","75","Yes","2F","Day Setup and Night Setback +5h","None","30% Leakage, R-4","400%+","1500-1999","1500-2499","Slab","None","2","2","None","Concrete","No","Electricity","70","Yes","3F","Day and Night +3h","100% Usage","AC, SEER 15","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","80000-99999","80000-99999","60000-99999","10 ACH50","R-30","None","None","None","Unfinished, Uninsulated","2ft R5 Under, Horizontal","CMU, 6-in Hollow, R-11","100% LED","EF 15.9","EF 12, National Average","None","None","None","None","None","None","None","None","1","North","100%","In metro area, not/partially in principal city","None","None","Hour17","EF 19.9, 100% Usage","Composition Shingles","Medium","Occupied","1980s","1980-99","Electric Standard","Electricity","Charleston Muni","F6 B6 L6 R6","Double, Low-E, Non-metal, Air, M-Gain","MSHP, SEER 24, 13 HSPF",29.15,82.41,3.1,215,319.5,107,234.5,0.632
"1690","Hour23","4","Standard Efficiency, No usage","Electric, 100% Usage","Standard, 100% Usage","Yes","Electric, 100% Usage","75","Yes","9F","Night Setback +4h","None","30% Leakage, Uninsulated","100-150%","1500-1999","1500-2499","Vented Crawlspace","2 Car","1","1","Brick, Medium/Dark","Wood Frame","No","Electricity","55","No","0F","None","100% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","35000-39999","20000-39999","20000-39999","15 ACH50","R-30","Ceiling R-13","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Wood Stud, R-11","100% LED","EF 15.9","EF 12, National Average","None","None","None","None","None","None","None","None","4","South","100%","In metro area, not/partially in principal city","None","None","Hour17","EF 17.6, 100% Usage","Asphalt Shingles, Medium","Medium","Vacant","1990s","1980-99","Electric Standard","Electricity","Charleston Muni","F12 B12 L12 R12","Double, Clear, Non-metal, Air","MSHP, SEER 24, 13 HSPF",24.43,87.61,5.47,36.67,136,2.5,134.5,0.321
"1220","Hour20","3","None","Electric, 100% Usage","Standard, 100% Usage","Yes","Electric, 100% Usage","70","No","0F","None","None","20% Leakage, R-4","150-200%","1000-1499","0-1499","Slab","None","1","1","None","Brick","No","Electricity","72","No","0F","None","100% Usage","Heat Pump","100% Conditioned","Heat Pump","Yes","No","ASHP, SEER 15, 8.5 HSPF","Ducted Heat Pump","Electricity ASHP","30000-34999","20000-39999","20000-39999","10 ACH50","R-19","None","None","None","Unfinished, Uninsulated","Uninsulated","Brick, 12-in, 3-wythe, R-11","100% CFL","None","None","None","None","None","None","None","None","None","None","2","South","100%","In metro area, not/partially in principal city","None","None","Hour13","EF 15.9, 100% Usage","Composition Shingles","Medium","Occupied","1980s","1980-99","Electric Standard","Electricity","Myrtle Beach Civ","F6 B6 L6 R6","Double, Clear, Non-metal, Air","MSHP, SEER 24, 13 HSPF",31.7,55.49,6.7,180,730,752,152.5,0.87
"1220","Hour20","3","None","Electric, 100% Usage","Standard, 100% Usage","Yes","Electric, 100% Usage","70","No","0F","None","None","20% Leakage, R-4","150-200%","1000-1499","0-1499","Slab","None","1","1","None","Brick","No","Electricity","72","No","0F","None","100% Usage","Heat Pump","100% Conditioned","Heat Pump","Yes","No","ASHP, SEER 15, 8.5 HSPF","Ducted Heat Pump","Electricity ASHP","30000-34999","20000-39999","20000-39999","10 ACH50","R-19","None","None","None","Unfinished, Uninsulated","Uninsulated","Brick, 12-in, 3-wythe, R-11","100% CFL","None","None","None","None","None","None","None","None","None","None","2","South","100%","In metro area, not/partially in principal city","None","None","Hour13","EF 15.9, 100% Usage","Composition Shingles","Medium","Occupied","1980s","1980-99","Electric Standard","Electricity","Myrtle Beach Civ","F6 B6 L6 R6","Double, Clear, Non-metal, Air","MSHP, SEER 24, 13 HSPF",28.15,72.13,6.45,160,333,68.5,280.5,0.6
"1690","Hour6","4","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","70","Yes","2F","Night Setup +2h","None","20% Leakage, R-8","400%+","1500-1999","1500-2499","Ambient","None","1","1","Vinyl, Light","Wood Frame","No","Natural Gas","75","No","0F","None","100% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Fuel Furnace, 92.5% AFUE","Ducted Heating","Natural Gas Fuel Furnace","70000-79999","60000-79999","60000-99999","7 ACH50","R-30","Ceiling R-13","None","None","Unfinished, Uninsulated","None","Wood Stud, R-15","100% Incandescent","None","EF 12, National Average","None","None","None","None","None","None","None","None","2","West","100%","In metro area, not/partially in principal city","None","None","Hour14","EF 17.6, 100% Usage","Composition Shingles","Medium","Occupied","2000s","2000-09","Natural Gas Standard","Natural Gas","Beaufort Mcas","F18 B18 L18 R18","Double, Low-E, Non-metal, Air, M-Gain","MSHP, SEER 24, 13 HSPF",30,72,4.35,165,563.5,274.5,349,1.24
"1690","Hour6","4","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","70","Yes","2F","Night Setup +2h","None","20% Leakage, R-8","400%+","1500-1999","1500-2499","Ambient","None","1","1","Vinyl, Light","Wood Frame","No","Natural Gas","75","No","0F","None","100% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Fuel Furnace, 92.5% AFUE","Ducted Heating","Natural Gas Fuel Furnace","70000-79999","60000-79999","60000-99999","7 ACH50","R-30","Ceiling R-13","None","None","Unfinished, Uninsulated","None","Wood Stud, R-15","100% Incandescent","None","EF 12, National Average","None","None","None","None","None","None","None","None","2","West","100%","In metro area, not/partially in principal city","None","None","Hour14","EF 17.6, 100% Usage","Composition Shingles","Medium","Occupied","2000s","2000-09","Natural Gas Standard","Natural Gas","Beaufort Mcas","F18 B18 L18 R18","Double, Low-E, Non-metal, Air, M-Gain","MSHP, SEER 24, 13 HSPF",28.3,85.33,2.85,220,62.5,0,62.5,0.551
"885","Hour22","2","Standard Efficiency, No usage","Electric, 100% Usage","Standard, 100% Usage","Yes","Gas, 100% Usage","68","Yes","2F","Night Setback","318 Rated kWh, 100% Usage","30% Leakage, Uninsulated","150-200%","750-999","0-1499","Vented Crawlspace","None","1","1","Shingle, Asbestos, Medium","Wood Frame","No","Electricity","55","Yes","12F","Night -5h","100% Usage","Heat Pump","100% Conditioned","Heat Pump","Yes","No","ASHP, SEER 13, 7.7 HSPF","Ducted Heat Pump","Electricity ASHP","40000-44999","40000-59999","40000-59999","25 ACH50","R-13","Uninsulated","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Wood Stud, Uninsulated","100% Incandescent","None","None","None","None","None","None","Has Pool","Gas","1.0 HP Pump","Typical Efficiency","4","East","100%","Not/partially in metro area","None","None","Hour13","EF 17.6, 100% Usage","Composition Shingles","Medium","Vacant","<1940","<1940","Electric Premium","Electricity","Beaufort Mcas","F18 B18 L18 R18","Single, Clear, Metal","MSHP, SEER 24, 13 HSPF",33.67,50.7,4.46,200,685,565,238,1.626
"885","Hour22","2","Standard Efficiency, No usage","Electric, 100% Usage","Standard, 100% Usage","Yes","Gas, 100% Usage","68","Yes","2F","Night Setback","318 Rated kWh, 100% Usage","30% Leakage, Uninsulated","150-200%","750-999","0-1499","Vented Crawlspace","None","1","1","Shingle, Asbestos, Medium","Wood Frame","No","Electricity","55","Yes","12F","Night -5h","100% Usage","Heat Pump","100% Conditioned","Heat Pump","Yes","No","ASHP, SEER 13, 7.7 HSPF","Ducted Heat Pump","Electricity ASHP","40000-44999","40000-59999","40000-59999","25 ACH50","R-13","Uninsulated","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Wood Stud, Uninsulated","100% Incandescent","None","None","None","None","None","None","Has Pool","Gas","1.0 HP Pump","Typical Efficiency","4","East","100%","Not/partially in metro area","None","None","Hour13","EF 17.6, 100% Usage","Composition Shingles","Medium","Vacant","<1940","<1940","Electric Premium","Electricity","Beaufort Mcas","F18 B18 L18 R18","Single, Clear, Metal","MSHP, SEER 24, 13 HSPF",32.2,51.99,3.1,140,599.5,437.5,261.5,1.535
"885","Hour22","2","Standard Efficiency, No usage","Electric, 100% Usage","Standard, 100% Usage","Yes","Gas, 100% Usage","68","Yes","2F","Night Setback","318 Rated kWh, 100% Usage","30% Leakage, Uninsulated","150-200%","750-999","0-1499","Vented Crawlspace","None","1","1","Shingle, Asbestos, Medium","Wood Frame","No","Electricity","55","Yes","12F","Night -5h","100% Usage","Heat Pump","100% Conditioned","Heat Pump","Yes","No","ASHP, SEER 13, 7.7 HSPF","Ducted Heat Pump","Electricity ASHP","40000-44999","40000-59999","40000-59999","25 ACH50","R-13","Uninsulated","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Wood Stud, Uninsulated","100% Incandescent","None","None","None","None","None","None","Has Pool","Gas","1.0 HP Pump","Typical Efficiency","4","East","100%","Not/partially in metro area","None","None","Hour13","EF 17.6, 100% Usage","Composition Shingles","Medium","Vacant","<1940","<1940","Electric Premium","Electricity","Beaufort Mcas","F18 B18 L18 R18","Single, Clear, Metal","MSHP, SEER 24, 13 HSPF",27.1,90.99,2.35,190,171.5,18.5,156.5,0.562
"885","Hour22","2","Standard Efficiency, No usage","Electric, 100% Usage","Standard, 100% Usage","Yes","Gas, 100% Usage","68","Yes","2F","Night Setback","318 Rated kWh, 100% Usage","30% Leakage, Uninsulated","150-200%","750-999","0-1499","Vented Crawlspace","None","1","1","Shingle, Asbestos, Medium","Wood Frame","No","Electricity","55","Yes","12F","Night -5h","100% Usage","Heat Pump","100% Conditioned","Heat Pump","Yes","No","ASHP, SEER 13, 7.7 HSPF","Ducted Heat Pump","Electricity ASHP","40000-44999","40000-59999","40000-59999","25 ACH50","R-13","Uninsulated","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Wood Stud, Uninsulated","100% Incandescent","None","None","None","None","None","None","Has Pool","Gas","1.0 HP Pump","Typical Efficiency","4","East","100%","Not/partially in metro area","None","None","Hour13","EF 17.6, 100% Usage","Composition Shingles","Medium","Vacant","<1940","<1940","Electric Premium","Electricity","Beaufort Mcas","F18 B18 L18 R18","Single, Clear, Metal","MSHP, SEER 24, 13 HSPF",24.82,100,1.84,100,101,3,98.5,0.546
"2663","Hour6","3","Standard Efficiency","Electric, 80% Usage","EnergyStar, 80% Usage","Yes","Electric, 80% Usage","78","No","0F","None","None","20% Leakage, R-8","400%+","2500-2999","2500-3999","Slab","3 Car","2","2","Vinyl, Light","Brick","No","Electricity","60","No","0F","None","50% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","160000-179999","140000+","150000+","8 ACH50","R-30","None","None","None","Unfinished, Uninsulated","Uninsulated","Brick, 12-in, 3-wythe, R-19","100% Incandescent","EF 17.6","None","None","None","None","None","None","None","None","None","2","North","50%","In metro area, not/partially in principal city","None","None","Hour18","EF 17.6, 100% Usage","Metal, Dark","Low","Occupied","2010s","2010s","Electric Standard","Electricity","Charleston Muni","F30 B30 L30 R30","Double, Low-E, Non-metal, Air, M-Gain","MSHP, SEER 24, 13 HSPF",25.15,96.48,3.48,65,65.5,0,65.5,0.713
"2663","Hour6","3","Standard Efficiency","Electric, 80% Usage","EnergyStar, 80% Usage","Yes","Electric, 80% Usage","78","No","0F","None","None","20% Leakage, R-8","400%+","2500-2999","2500-3999","Slab","3 Car","2","2","Vinyl, Light","Brick","No","Electricity","60","No","0F","None","50% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","160000-179999","140000+","150000+","8 ACH50","R-30","None","None","None","Unfinished, Uninsulated","Uninsulated","Brick, 12-in, 3-wythe, R-19","100% Incandescent","EF 17.6","None","None","None","None","None","None","None","None","None","2","North","50%","In metro area, not/partially in principal city","None","None","Hour18","EF 17.6, 100% Usage","Metal, Dark","Low","Occupied","2010s","2010s","Electric Standard","Electricity","Charleston Muni","F30 B30 L30 R30","Double, Low-E, Non-metal, Air, M-Gain","MSHP, SEER 24, 13 HSPF",27.25,84.59,6.28,227.5,346,76,286,0.812
"2663","Hour6","3","Standard Efficiency","Electric, 80% Usage","EnergyStar, 80% Usage","Yes","Electric, 80% Usage","78","No","0F","None","None","20% Leakage, R-8","400%+","2500-2999","2500-3999","Slab","3 Car","2","2","Vinyl, Light","Brick","No","Electricity","60","No","0F","None","50% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","160000-179999","140000+","150000+","8 ACH50","R-30","None","None","None","Unfinished, Uninsulated","Uninsulated","Brick, 12-in, 3-wythe, R-19","100% Incandescent","EF 17.6","None","None","None","None","None","None","None","None","None","2","North","50%","In metro area, not/partially in principal city","None","None","Hour18","EF 17.6, 100% Usage","Metal, Dark","Low","Occupied","2010s","2010s","Electric Standard","Electricity","Charleston Muni","F30 B30 L30 R30","Double, Low-E, Non-metal, Air, M-Gain","MSHP, SEER 24, 13 HSPF",31.7,59.34,3.6,240,720.5,750.5,143.5,1.083
"1690","Hour6","4","Standard Efficiency","Electric, 100% Usage","Standard, 100% Usage","Yes","Electric, 100% Usage","76","No","0F","None","None","30% Leakage, R-4","400%+","1500-1999","1500-2499","Slab","2 Car","2","2","Brick, Medium/Dark","Wood Frame","No","Natural Gas","70","No","0F","None","100% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Fuel Furnace, 92.5% AFUE","Ducted Heating","Natural Gas Fuel Furnace","80000-99999","80000-99999","60000-99999","7 ACH50","R-7","None","None","None","Unfinished, Uninsulated","Uninsulated","Wood Stud, Uninsulated","100% CFL","EF 15.9","None","None","None","None","None","None","None","None","None","2","Northwest","100%","In metro area, not/partially in principal city","None","None","Hour17","EF 17.6, 100% Usage","Wood Shingles","Medium","Occupied","1970s","1960-79","Natural Gas Standard","Natural Gas","Charleston Muni","F12 B12 L12 R12","Double, Clear, Non-metal, Air","MSHP, SEER 24, 13 HSPF",30,65.38,5.1,130,543.5,326.5,285,1.069
"1690","Hour6","4","Standard Efficiency","Electric, 100% Usage","Standard, 100% Usage","Yes","Electric, 100% Usage","76","No","0F","None","None","30% Leakage, R-4","400%+","1500-1999","1500-2499","Slab","2 Car","2","2","Brick, Medium/Dark","Wood Frame","No","Natural Gas","70","No","0F","None","100% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Fuel Furnace, 92.5% AFUE","Ducted Heating","Natural Gas Fuel Furnace","80000-99999","80000-99999","60000-99999","7 ACH50","R-7","None","None","None","Unfinished, Uninsulated","Uninsulated","Wood Stud, Uninsulated","100% CFL","EF 15.9","None","None","None","None","None","None","None","None","None","2","Northwest","100%","In metro area, not/partially in principal city","None","None","Hour17","EF 17.6, 100% Usage","Wood Shingles","Medium","Occupied","1970s","1960-79","Natural Gas Standard","Natural Gas","Charleston Muni","F12 B12 L12 R12","Double, Clear, Non-metal, Air","MSHP, SEER 24, 13 HSPF",31.1,65.61,6.7,190,473.5,216.5,303.5,1.071
"1690","Hour6","4","Standard Efficiency","Electric, 100% Usage","Standard, 100% Usage","Yes","Electric, 100% Usage","76","No","0F","None","None","30% Leakage, R-4","400%+","1500-1999","1500-2499","Slab","2 Car","2","2","Brick, Medium/Dark","Wood Frame","No","Natural Gas","70","No","0F","None","100% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Fuel Furnace, 92.5% AFUE","Ducted Heating","Natural Gas Fuel Furnace","80000-99999","80000-99999","60000-99999","7 ACH50","R-7","None","None","None","Unfinished, Uninsulated","Uninsulated","Wood Stud, Uninsulated","100% CFL","EF 15.9","None","None","None","None","None","None","None","None","None","2","Northwest","100%","In metro area, not/partially in principal city","None","None","Hour17","EF 17.6, 100% Usage","Wood Shingles","Medium","Occupied","1970s","1960-79","Natural Gas Standard","Natural Gas","Charleston Muni","F12 B12 L12 R12","Double, Clear, Non-metal, Air","MSHP, SEER 24, 13 HSPF",29.15,82.41,3.1,215,319.5,107,234.5,0.973
